,speaker_id,sex,partition,minutes
0,97,F,test,38.088
1,101,M,train,94.53800000000001
2,103,F,train,1109.94
3,133,M,dev,27.64
4,383,F,train,132.187
5,407,F,train,258.832
6,441,F,train,128.113
7,452,F,train,77.114
8,675,M,train,132.624
9,676,F,test,24.142
10,677,M,train,238.664
11,1075,M,dev,31.375999999999998
12,1227,F,dev,23.547
13,1447,F,train,147.519
14,1448,F,test,25.48
15,1474,F,train,52.49
16,1512,M,train,71.713
17,1853,M,train,311.94100000000003
18,2262,M,train,17.092
19,2285,M,train,168.70200000000003
20,2305,M,train,56.736000000000004
21,2308,F,dev,37.348
22,2363,M,train,248.673
23,2592,F,dev,26.409
24,2675,F,train,129.578
25,2767,M,dev,26.422
26,2939,F,train,0.558
27,3136,M,train,295.05899999999997
28,3290,F,train,706.126
29,3468,M,test,25.948
30,3471,M,test,39.786
31,3473,F,dev,36.294
32,3503,M,test,32.694
33,3553,M,train,4.711
34,3578,M,train,0.769
35,3678,F,dev,25.37
36,3719,F,dev,23.82
37,3796,M,dev,24.437
38,3946,M,train,18436.469
39,4064,F,train,57.167
40,4096,M,test,28.28
41,4589,M,dev,39.774
42,4747,F,test,28.784
43,4817,F,train,16.253
44,5047,F,train,12.844
45,5051,M,train,65.084
46,5168,M,train,221.982
47,5511,F,train,62.373
48,5691,M,test,20.799
49,5863,F,train,13.973
50,5870,M,test,22.038
51,5922,F,train,10.658
52,6156,M,train,13.081
53,6201,M,train,60.224
54,6223,F,dev,28.481
55,6306,F,test,23.379
56,6447,M,train,101.65
57,6453,F,train,15.413
58,6615,M,train,19.527
59,6671,M,dev,20.666
60,6768,F,train,62.32
61,7331,F,dev,38.572
62,7393,M,train,440.507
63,7433,F,train,551.918
64,7510,F,test,36.719
65,7560,F,train,19.921
66,7678,M,test,27.264
67,8060,F,train,111.267
68,8304,F,train,64.086
69,8306,M,test,39.973
70,8313,F,train,16.996
71,8585,M,test,37.044
72,8630,M,dev,36.841
73,8677,F,train,82.416
74,8688,M,train,77.69500000000001
75,8881,M,train,372.723
76,8882,M,train,5773.764
77,8886,F,train,6.372
78,9063,F,train,58.01
79,9648,F,train,4.933
80,9972,F,train,4123.928
81,10013,F,train,6.101
82,10191,F,train,16.563
83,10206,F,train,352.044
84,10246,F,train,12102.734
85,10256,M,train,16.544
86,10367,M,dev,20.915
87,10667,M,test,39.730000000000004
88,10678,F,train,0.213
89,10827,F,train,66.694
90,10889,F,train,0.499
91,10903,F,train,0.81
92,10976,M,train,1.362
93,10982,M,train,17.471
94,11040,M,train,14.186
95,11048,F,train,235.425
96,11064,M,train,7.593
97,11135,M,train,18.988
98,11168,F,test,35.303
99,11228,M,train,3.701
100,11247,F,train,1.627
101,11266,F,test,23.621
102,11410,F,train,19.52
103,11545,F,train,3.347
104,11553,F,train,5.97
105,11670,M,dev,37.088
106,11694,F,train,11.923
107,11772,F,train,2.919
108,11797,F,train,2172.652
109,12091,M,train,10.548
110,12249,F,test,24.605
111,12332,F,train,2.702
112,12341,M,train,208.911
113,12367,M,train,4145.169
114,12428,M,train,12.31
115,12525,F,test,26.542
116,12689,F,train,59.344
117,12692,F,train,9.296
118,12921,F,train,5.555
119,12953,M,train,6.621
120,13257,F,dev,30.097
121,13325,M,dev,39.730999999999995
122,13543,F,dev,24.492
123,13664,M,train,134.273
124,13690,F,train,87.656
125,13697,F,train,42.574
