dataset,augmentation,severity,metric,metric_value,runid
tedlium-release3_test,real_rir,3,DNSMOS,2.9388477161904762,0
tedlium-release3_test,slowdown,1,DNSMOS,3.484381464329004,0
tedlium-release3_test,resample,2,DNSMOS,3.0173899814718617,0
tedlium-release3_test,rir,4,DNSMOS,2.730915070909091,0
tedlium-release3_test,rir,2,DNSMOS,2.896219173939394,0
tedlium-release3_test,pitch_up,2,DNSMOS,3.1918905022510824,0
tedlium-release3_test,lowpass,4,DNSMOS,2.4813678082251083,0
tedlium-release3_test,treble,4,DNSMOS,2.786791169090909,0
tedlium-release3_test,env_noise,2,DNSMOS,3.220578052554113,0
tedlium-release3_test,env_noise_esc50,2,DNSMOS,3.001796863116883,0
tedlium-release3_test,treble,3,DNSMOS,3.025042953160173,0
tedlium-release3_test,gain,3,DNSMOS,2.442893837229437,0
tedlium-release3_test,music,1,DNSMOS,3.3985604220779226,0
tedlium-release3_test,treble,2,DNSMOS,3.206388209004329,0
tedlium-release3_test,music,4,DNSMOS,2.7062898559307356,0
tedlium-release3_test,chorus,3,DNSMOS,3.0155603478787882,0
tedlium-release3_test,tempo_down,1,DNSMOS,3.443010628225108,0
tedlium-release3_test,highpass,4,DNSMOS,2.515298214632035,0
tedlium-release3_test,None,0,DNSMOS,3.4689911985281388,0
tedlium-release3_test,phaser,3,DNSMOS,2.8516256564502163,0
tedlium-release3_test,gnoise,1,DNSMOS,2.540951094025974,0
tedlium-release3_test,slowdown,2,DNSMOS,3.31981666978355,0
tedlium-release3_test,music,3,DNSMOS,2.914335548831169,0
tedlium-release3_test,gnoise,3,DNSMOS,2.241500178095238,0
tedlium-release3_test,env_noise_musan,4,DNSMOS,2.743091573766234,0
tedlium-release3_test,rir,3,DNSMOS,2.7609998754112555,0
tedlium-release3_test,slowdown,4,DNSMOS,2.8864023293506493,0
tedlium-release3_test,tremolo,2,DNSMOS,3.1541439111688314,0
tedlium-release3_test,env_noise_wham,1,DNSMOS,3.4092786092640694,0
tedlium-release3_test,resample,1,DNSMOS,3.3930094003463203,0
tedlium-release3_test,tremolo,4,DNSMOS,2.1294866012121214,0
tedlium-release3_test,phaser,1,DNSMOS,3.3894405104761907,0
tedlium-release3_test,gain,1,DNSMOS,2.82622058025974,0
tedlium-release3_test,tempo_down,3,DNSMOS,3.2624879046753246,0
tedlium-release3_test,env_noise_wham,4,DNSMOS,2.3325230959307355,0
tedlium-release3_test,bass,2,DNSMOS,3.435970912121212,0
tedlium-release3_test,env_noise_musan,3,DNSMOS,2.967172131861472,0
tedlium-release3_test,echo,1,DNSMOS,3.122424803116883,0
tedlium-release3_test,echo,3,DNSMOS,3.160753123030303,0
tedlium-release3_test,tremolo,3,DNSMOS,2.645495902164502,0
tedlium-release3_test,phaser,4,DNSMOS,2.676515029004329,0
tedlium-release3_test,crosstalk,3,DNSMOS,3.1956926844155844,0
tedlium-release3_test,env_noise_esc50,3,DNSMOS,2.9290204838095235,0
tedlium-release3_test,pitch_up,3,DNSMOS,3.0987370053679655,0
tedlium-release3_test,env_noise,3,DNSMOS,2.918035802251082,0
tedlium-release3_test,env_noise,4,DNSMOS,2.63253974,0
tedlium-release3_test,env_noise,1,DNSMOS,3.392134208138528,0
tedlium-release3_test,pitch_down,2,DNSMOS,3.1606520363636363,0
tedlium-release3_test,chorus,1,DNSMOS,3.240613446233766,0
tedlium-release3_test,bass,4,DNSMOS,2.909907813246753,0
tedlium-release3_test,slowdown,3,DNSMOS,3.200731147532468,0
tedlium-release3_test,pitch_down,4,DNSMOS,2.7023760612121213,0
tedlium-release3_test,lowpass,2,DNSMOS,3.0771329340259737,0
tedlium-release3_test,highpass,3,DNSMOS,2.755817660865801,0
tedlium-release3_test,speedup,2,DNSMOS,3.238077812640693,0
tedlium-release3_test,crosstalk,2,DNSMOS,3.277065878095238,0
tedlium-release3_test,env_noise_musan,1,DNSMOS,3.3670476957575755,0
tedlium-release3_test,lowpass,3,DNSMOS,2.8918903204329003,0
tedlium-release3_test,voice_conversion_vctk,1,DNSMOS,3.7527227651082256,0
tedlium-release3_test,speedup,3,DNSMOS,3.0562619629437227,0
tedlium-release3_test,lowpass,1,DNSMOS,3.0870563893506495,0
tedlium-release3_test,env_noise_esc50,1,DNSMOS,3.10875874987013,0
tedlium-release3_test,pitch_up,4,DNSMOS,3.0564311612121213,0
tedlium-release3_test,echo,4,DNSMOS,3.182468218181818,0
tedlium-release3_test,echo,2,DNSMOS,3.1651603574891776,0
tedlium-release3_test,real_rir,4,DNSMOS,2.5592199527272723,0
tedlium-release3_test,tempo_up,4,DNSMOS,2.9341809615584418,0
tedlium-release3_test,env_noise_wham,2,DNSMOS,3.172777366839827,0
tedlium-release3_test,env_noise_esc50,4,DNSMOS,2.6727280213852813,0
tedlium-release3_test,treble,1,DNSMOS,3.390362035930736,0
tedlium-release3_test,rir,1,DNSMOS,3.1269368025108224,0
tedlium-release3_test,gnoise,2,DNSMOS,2.374745888658009,0
tedlium-release3_test,highpass,2,DNSMOS,3.061242642251082,0
tedlium-release3_test,tempo_down,2,DNSMOS,3.388689946839827,0
tedlium-release3_test,chorus,2,DNSMOS,3.107040877575758,0
tedlium-release3_test,chorus,4,DNSMOS,3.00821371991342,0
tedlium-release3_test,gnoise,4,DNSMOS,2.069662293939394,0
tedlium-release3_test,real_rir,1,DNSMOS,3.3102473090909093,0
tedlium-release3_test,bass,3,DNSMOS,3.247086677922078,0
tedlium-release3_test,bass,1,DNSMOS,3.4595575052813854,0
tedlium-release3_test,gain,2,DNSMOS,2.5713970940259743,0
tedlium-release3_test,music,2,DNSMOS,3.198686248484848,0
tedlium-release3_test,pitch_down,1,DNSMOS,3.1887148324675327,0
tedlium-release3_test,pitch_up,1,DNSMOS,3.297974600779221,0
tedlium-release3_test,resample,4,DNSMOS,2.75910613012987,0
tedlium-release3_test,crosstalk,1,DNSMOS,3.410694258095238,0
tedlium-release3_test,tempo_up,2,DNSMOS,3.2338672937662336,0
tedlium-release3_test,real_rir,2,DNSMOS,3.166737694112554,0
tedlium-release3_test,crosstalk,4,DNSMOS,3.181023446666667,0
tedlium-release3_test,phaser,2,DNSMOS,3.178288195064935,0
tedlium-release3_test,gain,4,DNSMOS,2.3642310184415587,0
tedlium-release3_test,env_noise_wham,3,DNSMOS,2.7713226063203464,0
tedlium-release3_test,tempo_up,1,DNSMOS,3.3800892064069266,0
tedlium-release3_test,speedup,4,DNSMOS,2.895344623290043,0
tedlium-release3_test,tempo_up,3,DNSMOS,3.0872867155844155,0
tedlium-release3_test,tremolo,1,DNSMOS,3.371434065454545,0
tedlium-release3_test,speedup,1,DNSMOS,3.4365409378354976,0
tedlium-release3_test,tempo_down,4,DNSMOS,3.1157782064069264,0
tedlium-release3_test,resample,3,DNSMOS,2.893648732121212,0
tedlium-release3_test,highpass,1,DNSMOS,3.23322911965368,0
tedlium-release3_test,env_noise_musan,2,DNSMOS,3.2083270615584416,0
tedlium-release3_test,pitch_down,3,DNSMOS,2.9300900103896104,0
multilingual_librispeech-spanish_test,slowdown,1,DNSMOS,3.844770771069183,0
multilingual_librispeech-spanish_test,resample,2,DNSMOS,3.632268248301887,0
multilingual_librispeech-spanish_test,rir,4,DNSMOS,3.3182145411320754,0
multilingual_librispeech-spanish_test,rir,2,DNSMOS,3.3298967094758907,0
multilingual_librispeech-spanish_test,pitch_up,2,DNSMOS,3.5118253723689725,0
multilingual_librispeech-spanish_test,lowpass,4,DNSMOS,2.4646151999580717,0
multilingual_librispeech-spanish_test,treble,4,DNSMOS,3.239236633249476,0
multilingual_librispeech-spanish_test,env_noise,2,DNSMOS,3.058377197442348,0
multilingual_librispeech-spanish_test,env_noise_esc50,2,DNSMOS,3.7038795597484273,0
multilingual_librispeech-spanish_test,treble,3,DNSMOS,3.537027541090147,0
multilingual_librispeech-spanish_test,gain,3,DNSMOS,2.970345301509434,0
